gap_width,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
3.5,4,5,GoalBias,1,21.690272092819214,759,585,197.97846430094697
3.5,1,4,Hybrid,0,,,,
3.5,4,6,GoalBias,1,11.056167125701904,548,368,119.57065315902057
3.5,4,7,GoalBias,1,2.290919303894043,43,124,143.31661889590205
3.5,4,6,Hybrid,1,16.147121906280518,329,287,139.09668476567816
3.5,4,7,Hybrid,1,3.593319892883301,189,164,148.98768601416978
3.5,4,7,RRT*,1,14.336827993392944,546,479,210.98912772991798
3.5,4,8,Hybrid,1,4.914298057556152,295,191,129.4604039506608
3.5,4,6,RRT*,0,,,,
3.5,4,8,RRT*,1,21.229074954986572,803,619,240.59646913427113
3.5,4,9,RRT*,1,22.18881607055664,965,711,211.3788925708027
3.5,4,9,GoalBias,1,16.02512001991272,682,523,145.03718995811423
4.5,0,0,GoalBias,1,2.601987838745117,73,141,155.59253907504421
3.5,4,8,GoalBias,1,34.50422406196594,1358,831,206.45473453268556
3.5,4,9,Hybrid,1,15.695841073989868,318,314,142.63810441414617
4.5,0,0,Hybrid,1,6.038185358047485,221,216,134.9330528662182
4.5,0,0,RRT*,1,12.167695999145508,458,498,173.6586740726722
4.5,0,1,Hybrid,1,9.226824045181274,336,263,115.61061421651304
4.5,0,2,RRT*,1,7.504853010177612,322,346,155.00469202165968
4.5,0,1,RRT*,1,14.015295028686523,587,454,214.3761407401818
4.5,0,2,Hybrid,1,2.3954391479492188,127,141,124.79440872267972
4.5,0,3,GoalBias,1,2.43247389793396,103,139,142.8506981454411
4.5,0,1,GoalBias,1,17.90095567703247,1259,505,189.93043155333982
4.5,0,2,GoalBias,1,13.986226081848145,945,463,236.48727108658005
4.5,0,3,Hybrid,1,13.534698009490967,412,332,193.35399969494944
4.5,0,3,RRT*,1,21.70431423187256,765,752,138.5233551454308
4.5,0,4,RRT*,1,19.36616086959839,646,682,136.19646505828177
4.5,0,4,GoalBias,1,16.295970678329468,986,495,194.41768991449177
4.5,0,5,GoalBias,1,6.539795875549316,391,281,177.80745392094553
4.5,0,4,Hybrid,1,14.190623044967651,449,328,190.65827407492117
4.5,0,5,Hybrid,1,3.564915895462036,207,183,161.01802100432096
4.5,0,5,RRT*,1,12.804771900177002,542,491,173.26064968514052
4.5,0,6,Hybrid,1,4.772796869277954,228,215,120.758943054565
4.5,0,6,GoalBias,1,6.0382771492004395,375,268,158.8177879002381
4.5,0,7,GoalBias,1,2.1278469562530518,48,122,139.3418849114037
4.5,0,7,Hybrid,1,3.466832160949707,104,124,132.9007649730199
4.5,0,8,GoalBias,1,2.8819198608398438,108,169,111.7680176508394
4.5,0,6,RRT*,1,13.844216108322144,625,477,184.7888642744165
4.5,0,8,Hybrid,1,1.8999319076538086,94,124,166.2600950752092
4.5,0,7,RRT*,1,11.6323881149292,519,414,195.97687748859286
4.5,0,8,RRT*,1,12.98921012878418,567,485,156.67942616808162
4.5,0,9,RRT*,1,9.420226097106934,398,450,147.38836007970568
4.5,0,9,Hybrid,1,8.808537244796753,306,245,173.8373817856682
